,epoch,train_loss,val_loss
0,1,6317.554625511169,0.0
1,2,5042.731058597565,0.0
2,3,4567.219708204269,0.0
3,4,4284.871919631958,0.0
4,5,4058.0171670913696,0.0
5,6,3866.919701576233,0.0
6,7,3779.741283893585,0.0
7,8,3622.6355907917023,0.0
8,9,3505.662076473236,0.0
9,10,3460.1082870960236,3456.6189856529236
10,11,3358.583060026169,0.0
11,12,3296.2814390659332,0.0
12,13,3218.118413925171,0.0
13,14,3169.892402410507,0.0
14,15,3123.8302063941956,0.0
15,16,3085.5348761081696,0.0
16,17,3049.4154136180878,0.0
17,18,2985.0247328281403,0.0
18,19,2939.7257606983185,0.0
19,20,2933.247196674347,3070.5001950263977
20,21,2896.224731683731,0.0
21,22,2817.304470539093,0.0
22,23,2847.185908317566,0.0
23,24,2800.471663236618,0.0
24,25,2764.4723167419434,0.0
25,26,2720.901550412178,0.0
26,27,2709.6683720350266,0.0
27,28,2704.5490918159485,0.0
28,29,2663.4213235378265,0.0
29,30,2667.847891688347,2920.135460615158
30,31,2597.2129341363907,0.0
31,32,2621.357663989067,0.0
32,33,2578.8798958063126,0.0
33,34,2559.758124113083,0.0
34,35,2581.238534450531,0.0
35,36,2525.202168226242,0.0
36,37,2508.842093348503,0.0
37,38,2488.3809818029404,0.0
38,39,2496.5685185194016,0.0
39,40,2471.81807410717,2743.3601882457733
40,41,2446.495446562767,0.0
41,42,2426.0372405052185,0.0
42,43,2440.09266269207,0.0
43,44,2400.985886335373,0.0
44,45,2404.6503431797028,0.0
45,46,2373.965695142746,0.0
46,47,2361.4923363924026,0.0
47,48,2353.203657269478,0.0
48,49,2347.0864295959473,0.0
49,50,2329.517925977707,2679.004419326782
50,51,2323.2449122667313,0.0
